Year,Month,Day,Hour,Minute,Timestamp,Demand
2020,1,9,3,0,2020-01-09 03:00:00,5368.000979725987
2020,1,9,3,30,2020-01-09 03:30:00,5350.354935270801
2020,1,9,4,0,2020-01-09 04:00:00,5368.584260673114
2020,1,9,4,30,2020-01-09 04:30:00,5398.099436555907
2020,1,9,5,0,2020-01-09 05:00:00,5476.04236331281
2020,1,9,5,30,2020-01-09 05:30:00,5578.277397665943
2020,1,9,6,0,2020-01-09 06:00:00,5735.95842655234
2020,1,9,6,30,2020-01-09 06:30:00,5895.747852606209
2020,1,9,7,0,2020-01-09 07:00:00,6041.743728246793
2020,1,9,7,30,2020-01-09 07:30:00,6100.145067034771
2020,1,9,8,0,2020-01-09 08:00:00,6154.5761464212555
2020,1,9,8,30,2020-01-09 08:30:00,6169.9857001087585
2020,1,9,9,0,2020-01-09 09:00:00,6120.735549240132
2020,1,9,9,30,2020-01-09 09:30:00,6130.460841946444
2020,1,9,10,0,2020-01-09 10:00:00,6134.224107389226
2020,1,9,10,30,2020-01-09 10:30:00,6167.987992530208
2020,1,9,11,0,2020-01-09 11:00:00,6204.282579236223
2020,1,9,11,30,2020-01-09 11:30:00,6286.264974404543
2020,1,9,12,0,2020-01-09 12:00:00,6383.528179899318
2020,1,9,12,30,2020-01-09 12:30:00,6378.383645413107
2020,1,9,13,0,2020-01-09 13:00:00,6485.670178581602
2020,1,9,13,30,2020-01-09 13:30:00,6625.7770065939885
2020,1,9,14,0,2020-01-09 14:00:00,6746.999143525364
2020,1,9,14,30,2020-01-09 14:30:00,6853.775690636193
2020,1,9,15,0,2020-01-09 15:00:00,6983.767508219661
2020,1,9,15,30,2020-01-09 15:30:00,7098.36720734353
2020,1,9,16,0,2020-01-09 16:00:00,7280.682492622522
2020,1,9,16,30,2020-01-09 16:30:00,7418.877015086179
2020,1,9,17,0,2020-01-09 17:00:00,7523.268979416168
2020,1,9,17,30,2020-01-09 17:30:00,7559.098455510888
2020,1,9,18,0,2020-01-09 18:00:00,7551.172985760047
2020,1,9,18,30,2020-01-09 18:30:00,7655.719996421367
2020,1,9,19,0,2020-01-09 19:00:00,7727.009008043331
2020,1,9,19,30,2020-01-09 19:30:00,7733.677821460782
2020,1,9,20,0,2020-01-09 20:00:00,7613.059709081594
2020,1,9,20,30,2020-01-09 20:30:00,7386.693543857214
2020,1,9,21,0,2020-01-09 21:00:00,7141.858488999361
2020,1,9,21,30,2020-01-09 21:30:00,6915.315515158992
2020,1,9,22,0,2020-01-09 22:00:00,6688.2282275768475
2020,1,9,22,30,2020-01-09 22:30:00,6520.118886910038
